nSeq,A1,Activity
9,517.0,elevacion_reggaeton
10,503.0,elevacion_reggaeton
11,508.0,elevacion_reggaeton
12,510.0,elevacion_reggaeton
13,509.0,elevacion_reggaeton
14,513.0,elevacion_reggaeton
15,516.0,elevacion_reggaeton
0,517.0,elevacion_reggaeton
1,514.0,elevacion_reggaeton
2,511.0,elevacion_reggaeton
3,515.0,elevacion_reggaeton
4,515.0,elevacion_reggaeton
5,513.0,elevacion_reggaeton
6,512.0,elevacion_reggaeton
7,511.0,elevacion_reggaeton
8,508.0,elevacion_reggaeton
9,511.0,elevacion_reggaeton
10,512.0,elevacion_reggaeton
11,514.0,elevacion_reggaeton
12,516.0,elevacion_reggaeton
13,512.0,elevacion_reggaeton
14,516.0,elevacion_reggaeton
15,519.0,elevacion_reggaeton
0,515.0,elevacion_reggaeton
1,514.0,elevacion_reggaeton
2,517.0,elevacion_reggaeton
3,520.0,elevacion_reggaeton
4,519.0,elevacion_reggaeton
5,516.0,elevacion_reggaeton
6,517.0,elevacion_reggaeton
7,515.0,elevacion_reggaeton
8,519.0,elevacion_reggaeton
9,512.0,elevacion_reggaeton
10,509.0,elevacion_reggaeton
11,509.0,elevacion_reggaeton
12,511.0,elevacion_reggaeton
13,512.0,elevacion_reggaeton
14,511.0,elevacion_reggaeton
15,506.0,elevacion_reggaeton
0,508.0,elevacion_reggaeton
1,509.0,elevacion_reggaeton
2,514.0,elevacion_reggaeton
3,518.0,elevacion_reggaeton
4,519.0,elevacion_reggaeton
5,518.0,elevacion_reggaeton
6,519.0,elevacion_reggaeton
7,518.0,elevacion_reggaeton
8,515.0,elevacion_reggaeton
9,514.0,elevacion_reggaeton
10,516.0,elevacion_reggaeton
11,517.0,elevacion_reggaeton
12,518.0,elevacion_reggaeton
13,518.0,elevacion_reggaeton
14,515.0,elevacion_reggaeton
15,508.0,elevacion_reggaeton
0,509.0,elevacion_reggaeton
1,511.0,elevacion_reggaeton
2,513.0,elevacion_reggaeton
3,512.0,elevacion_reggaeton
4,519.0,elevacion_reggaeton
5,517.0,elevacion_reggaeton
6,514.0,elevacion_reggaeton
7,510.0,elevacion_reggaeton
8,516.0,elevacion_reggaeton
9,514.0,elevacion_reggaeton
10,519.0,elevacion_reggaeton
11,518.0,elevacion_reggaeton
12,515.0,elevacion_reggaeton
13,513.0,elevacion_reggaeton
14,520.0,elevacion_reggaeton
15,523.0,elevacion_reggaeton
0,517.0,elevacion_reggaeton
1,514.0,elevacion_reggaeton
2,518.0,elevacion_reggaeton
3,518.0,elevacion_reggaeton
4,517.0,elevacion_reggaeton
5,511.0,elevacion_reggaeton
6,507.0,elevacion_reggaeton
7,508.0,elevacion_reggaeton
